,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_2383,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_2384,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA,NA
ASV_2385,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Arctic97B-4_marine_group,NA,NA,NA
ASV_2386,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
ASV_2387,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,NA
ASV_2388,Bacteria,Acidobacteriota,Subgroup_26,NA,NA,NA,NA
ASV_2389,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,NA,NA
ASV_2390,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,NA,NA
ASV_2391,Bacteria,Verrucomicrobiota,Lentisphaeria,Lentisphaerales,Lentisphaeraceae,Lentisphaera,NA
ASV_2392,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,NA
ASV_2393,Bacteria,Planctomycetota,BD7-11,NA,NA,NA,NA
ASV_2394,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
ASV_2395,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,NA
ASV_2396,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,NA
ASV_2397,Bacteria,Verrucomicrobiota,Lentisphaeria,Lentisphaerales,Lentisphaeraceae,Lentisphaera,NA
ASV_2398,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,NA
ASV_2399,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA,NA
ASV_2400,Bacteria,Proteobacteria,Gammaproteobacteria,AT-s2-59,NA,NA,NA
ASV_2401,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Urania-1B-19_marine_sediment_group,NA
ASV_2402,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_2403,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA
ASV_2404,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ascidiaceihabitans,NA
ASV_2405,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_2406,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,NA
ASV_2407,Bacteria,Gemmatimonadota,BD2-11_terrestrial_group,NA,NA,NA,NA
ASV_2408,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,NA
ASV_2409,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
ASV_2410,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,NA
ASV_2411,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,NA,NA
ASV_2412,Bacteria,Marinimicrobia_(SAR406_clade),NA,NA,NA,NA,NA
ASV_2413,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA
ASV_2414,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,NA
ASV_2415,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,NA
ASV_2416,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rubripirellula,NA
ASV_2417,Bacteria,SAR324_clade(Marine_group_B),NA,NA,NA,NA,NA
ASV_2418,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_2419,Bacteria,Latescibacterota,Latescibacteria,Latescibacterales,Latescibacteraceae,NA,NA
ASV_2420,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thalassobius,NA
ASV_2421,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA
ASV_2422,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,NA
ASV_2423,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Marinoscillum,NA
ASV_2424,Bacteria,NB1-j,NA,NA,NA,NA,NA
ASV_2427,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA,NA
ASV_2428,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA
ASV_2429,Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,NA,NA,NA
ASV_2430,Bacteria,SAR324_clade(Marine_group_B),NA,NA,NA,NA,NA
ASV_2431,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169_marine_group,NA,NA
ASV_2432,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,NA
ASV_2434,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA
ASV_2435,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA,NA
ASV_2436,Bacteria,Zixibacteria,NA,NA,NA,NA,NA
ASV_2437,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,Rhodothermaceae,NA,NA
ASV_2438,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_2439,Bacteria,NB1-j,NA,NA,NA,NA,NA
ASV_2440,Bacteria,Gemmatimonadota,PAUC43f_marine_benthic_group,NA,NA,NA,NA
ASV_2441,Bacteria,SAR324_clade(Marine_group_B),NA,NA,NA,NA,NA
ASV_2442,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,NA,NA
ASV_2443,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
ASV_2444,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,NA
ASV_2445,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
ASV_2446,Bacteria,Planctomycetota,Phycisphaerae,C86,NA,NA,NA
ASV_2447,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,NA
ASV_2448,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_2449,Bacteria,Acidobacteriota,Subgroup_21,NA,NA,NA,NA
ASV_2450,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Kangiellaceae,NA,NA
ASV_2451,Bacteria,SAR324_clade(Marine_group_B),NA,NA,NA,NA,NA
ASV_2452,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,NA
ASV_2453,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,NA,NA
ASV_2454,Bacteria,Planctomycetota,OM190,NA,NA,NA,NA
ASV_2455,Bacteria,Proteobacteria,Gammaproteobacteria,EPR3968-O8a-Bc78,NA,NA,NA
ASV_2456,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,NA
ASV_2457,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
ASV_2458,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS7_marine_group,NA,NA
ASV_2459,Bacteria,Planctomycetota,Phycisphaerae,MSBL9,SG8-4,NA,NA
ASV_2460,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,NA
ASV_2461,Bacteria,Nitrospinota,P9X2b3D02,NA,NA,NA,NA
ASV_2462,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,NA
ASV_2464,Bacteria,Chloroflexi,Dehalococcoidia,S085,NA,NA,NA
ASV_2465,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,NA,NA,NA
ASV_2466,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA
ASV_2467,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
ASV_2468,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,Bauldia,NA
ASV_2469,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4_lineage,NA
ASV_2470,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
ASV_2471,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,NA
ASV_2472,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,NA,NA,NA
ASV_2473,Bacteria,Proteobacteria,Gammaproteobacteria,UBA4486,NA,NA,NA
ASV_2474,Bacteria,Marinimicrobia_(SAR406_clade),NA,NA,NA,NA,NA
ASV_2475,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,NA
ASV_2476,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,Rhodothermaceae,NA,NA
ASV_2477,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_2479,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,NA
ASV_2480,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,NA
ASV_2481,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,NA
ASV_2482,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,NA
ASV_2484,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,NA
ASV_2485,Bacteria,Acidobacteriota,Subgroup_22,NA,NA,NA,NA
ASV_2486,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,NA
ASV_2487,Bacteria,Chloroflexi,JG30-KF-CM66,NA,NA,NA,NA
ASV_2488,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,NA,NA,NA
ASV_2489,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,NA
ASV_2490,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,NA
ASV_2491,Bacteria,Acidobacteriota,Subgroup_22,NA,NA,NA,NA
ASV_2492,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_2493,Bacteria,Chloroflexi,JG30-KF-CM66,NA,NA,NA,NA
ASV_2494,Bacteria,NB1-j,NA,NA,NA,NA,NA
ASV_2495,Bacteria,SAR324_clade(Marine_group_B),NA,NA,NA,NA,NA
ASV_2496,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA
ASV_2497,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,NA
ASV_2498,Bacteria,NB1-j,NA,NA,NA,NA,NA
ASV_2499,Bacteria,Proteobacteria,Gammaproteobacteria,BD7-8,NA,NA,NA
ASV_2500,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,NA
ASV_2501,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,NA
ASV_2502,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_9,NA,NA,NA
ASV_2503,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,NA
ASV_2504,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,NA,NA
ASV_2505,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
ASV_2506,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,NA
ASV_2507,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,NA,NA,NA
ASV_2508,Bacteria,NB1-j,NA,NA,NA,NA,NA
ASV_2509,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,NA
ASV_2510,Bacteria,Gemmatimonadota,BD2-11_terrestrial_group,NA,NA,NA,NA
ASV_2511,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_2512,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4_lineage,NA
ASV_2513,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Gimesiaceae,NA,NA
ASV_2514,Bacteria,Chloroflexi,JG30-KF-CM66,NA,NA,NA,NA
ASV_2515,Bacteria,Proteobacteria,Gammaproteobacteria,AT-s2-59,NA,NA,NA
ASV_2516,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Gimesiaceae,NA,NA
ASV_2517,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,NA,NA,NA
ASV_2518,Bacteria,NA,NA,NA,NA,NA,NA
ASV_2519,Bacteria,Proteobacteria,Gammaproteobacteria,JTB23,NA,NA,NA
ASV_2520,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA
ASV_2521,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA
ASV_2523,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4_lineage,NA
ASV_2524,Bacteria,Desulfobacterota,NA,NA,NA,NA,NA
ASV_2525,Bacteria,Acidobacteriota,Subgroup_22,NA,NA,NA,NA
ASV_2526,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,NA,NA,NA
ASV_2527,Bacteria,SAR324_clade(Marine_group_B),NA,NA,NA,NA,NA
ASV_2528,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,LS-NOB,NA
ASV_2529,Bacteria,Hydrogenedentes,Hydrogenedentia,Hydrogenedentiales,Hydrogenedensaceae,NA,NA
ASV_2530,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,NA,NA,NA
ASV_2531,Bacteria,Acidobacteriota,Subgroup_22,NA,NA,NA,NA
ASV_2532,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,NA
ASV_2533,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA,NA
ASV_2534,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA,NA
ASV_2535,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Roseibacillus,NA
ASV_2536,Bacteria,Gemmatimonadota,BD2-11_terrestrial_group,NA,NA,NA,NA
ASV_2537,Bacteria,Planctomycetota,Phycisphaerae,C86,NA,NA,NA
ASV_2538,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,JL-ETNP-F27,NA
ASV_2539,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NA,NA
ASV_2540,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
ASV_2541,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
ASV_2542,Bacteria,SAR324_clade(Marine_group_B),NA,NA,NA,NA,NA
ASV_2543,Bacteria,Proteobacteria,Gammaproteobacteria,Granulosicoccales,NA,NA,NA
ASV_2544,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquibacter,NA
ASV_2545,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,NA
ASV_2546,Bacteria,Proteobacteria,Gammaproteobacteria,BD7-8,NA,NA,NA
ASV_2547,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,NA,NA,NA
ASV_2548,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,NA
ASV_2549,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
ASV_2550,Bacteria,Latescibacterota,NA,NA,NA,NA,NA
ASV_2551,Bacteria,NA,NA,NA,NA,NA,NA
ASV_2552,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,NA,NA,NA
ASV_2553,Bacteria,Gemmatimonadota,BD2-11_terrestrial_group,NA,NA,NA,NA
ASV_2554,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_2555,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,NA
ASV_2556,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A_clade,NA,NA,NA
ASV_2557,Bacteria,NB1-j,NA,NA,NA,NA,NA
ASV_2558,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
ASV_2559,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,NA,NA,NA
ASV_2560,Bacteria,Proteobacteria,Gammaproteobacteria,BD7-8,NA,NA,NA
ASV_2561,Bacteria,Chloroflexi,JG30-KF-CM66,NA,NA,NA,NA
ASV_2563,Bacteria,Marinimicrobia_(SAR406_clade),NA,NA,NA,NA,NA
ASV_2564,Bacteria,NA,NA,NA,NA,NA,NA
ASV_2565,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA
ASV_2566,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,NA
ASV_2567,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus,NA
ASV_2568,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,NA,NA
ASV_2569,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_2570,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,NA
ASV_2571,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA,NA
ASV_2572,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina,NA
ASV_2573,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,NA
ASV_2574,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,Rhodothermaceae,NA,NA
ASV_2575,Bacteria,Planctomycetota,Phycisphaerae,B103G10,NA,NA,NA
ASV_2576,Bacteria,Schekmanbacteria,NA,NA,NA,NA,NA
ASV_2577,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,Rhodothermaceae,NA,NA
ASV_2578,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,Rhodothermaceae,Rubrivirga,NA
ASV_2579,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,NA,NA
ASV_2580,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,NA
ASV_2581,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmata_or,Thermoplasmata_fa,Marine_Group_III,NA
ASV_2582,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,AqS1,NA
ASV_2583,Bacteria,Marinimicrobia_(SAR406_clade),NA,NA,NA,NA,NA
ASV_2584,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,NA,NA
ASV_2585,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,NA
ASV_2586,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_2589,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4_lineage,NA
ASV_2590,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,NA,NA,NA
ASV_2591,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,yanoikuyae
ASV_2592,Bacteria,Gemmatimonadota,BD2-11_terrestrial_group,NA,NA,NA,NA
ASV_2593,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NA,NA
ASV_2594,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_2595,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,NA,NA,NA
ASV_2596,Bacteria,Verrucomicrobiota,Lentisphaeria,Lentisphaerales,Lentisphaeraceae,Lentisphaera,NA
ASV_2597,Bacteria,Planctomycetota,Phycisphaerae,MSBL9,SM23-30,NA,NA
ASV_2598,Bacteria,Acidobacteriota,Subgroup_22,NA,NA,NA,NA
ASV_2599,Bacteria,NA,NA,NA,NA,NA,NA
ASV_2600,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_2601,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Halioglobus,NA
ASV_2602,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,NA,NA,NA
ASV_2603,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,NA,NA,NA
ASV_2605,Bacteria,NB1-j,NA,NA,NA,NA,NA
ASV_2606,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_2607,Bacteria,NA,NA,NA,NA,NA,NA
ASV_2608,Bacteria,NB1-j,NA,NA,NA,NA,NA
ASV_2609,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmata_or,Thermoplasmata_fa,Marine_Group_III,NA
ASV_2610,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_2611,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,NA,NA
ASV_2612,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,NA,NA,NA
ASV_2615,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,NA
ASV_2616,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_2617,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter,NA
ASV_2618,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_9,NA,NA,NA
ASV_2619,Bacteria,PAUC34f,NA,NA,NA,NA,NA
ASV_2620,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,NA
ASV_2622,Bacteria,Acidobacteriota,Subgroup_22,NA,NA,NA,NA
ASV_2623,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,NA,NA
ASV_2624,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_9,NA,NA,NA
ASV_2625,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,NA,NA,NA
ASV_2626,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_2627,Bacteria,SAR324_clade(Marine_group_B),NA,NA,NA,NA,NA
ASV_2628,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,NA,NA
ASV_2629,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_2630,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquibacter,NA
ASV_2631,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,NA
ASV_2632,Bacteria,Hydrogenedentes,Hydrogenedentia,Hydrogenedentiales,Hydrogenedensaceae,NA,NA
ASV_2633,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,NA
ASV_2634,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169_marine_group,NA,NA
ASV_2635,Bacteria,Proteobacteria,Gammaproteobacteria,UBA10353_marine_group,NA,NA,NA
ASV_2636,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,NA,NA,NA
ASV_2637,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,NA,NA,NA
ASV_2638,Bacteria,Planctomycetota,Pla4_lineage,NA,NA,NA,NA
ASV_2639,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,NA,NA,NA
ASV_2640,Bacteria,Desulfobacterota,NA,NA,NA,NA,NA
ASV_2641,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Urania-1B-19_marine_sediment_group,NA
ASV_2642,Bacteria,Hydrogenedentes,Hydrogenedentia,Hydrogenedentiales,Hydrogenedensaceae,NA,NA
ASV_2643,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,NA,NA,NA
ASV_2644,Bacteria,SAR324_clade(Marine_group_B),NA,NA,NA,NA,NA
ASV_2645,Bacteria,SAR324_clade(Marine_group_B),NA,NA,NA,NA,NA
ASV_2647,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Group_II,NA,NA,NA
ASV_2648,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,NA,NA,NA
ASV_2649,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,NA
ASV_2650,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
ASV_2651,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,NA
ASV_2652,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
ASV_2653,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,NA,NA
ASV_2654,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Moritellaceae,Moritella,NA
ASV_2655,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,NA
ASV_2656,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,KD3-93,NA,NA
ASV_2658,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,NA
ASV_2659,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,NA,NA,NA
ASV_2660,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
ASV_2661,Bacteria,Acidobacteriota,Subgroup_22,NA,NA,NA,NA
