,DC.C01.4861,DC.C01.4811,DC.C01.3000,DC.C01.1000,DC.C01.900,DC.C01N.120,DC.C01.80,DC.C01.5,DC.C14.4183,DC.C14.4138,DC.C14.2000,DC.C14N.1000,DC.C14.150,DC.C14.120,DC.C14.70,DC.C14.5,DC2.R04C06.05to1,DC2.R04C06.0to05,DC2.R04C06.10to15r,DC2.R04C06.1to5,DC2.R04C06.5to10,DC2.R14C27.05to1,DC2.R14C27.0to05,DC2.R14C27.10to15,DC2.R14C27.1to5,DC2.R14C27.5to10
sp4739,0,0,0,0,0,0,0,0.00140469,0,0,0,0,0,0,0.00014055,0.00014045,0,0,0,0,0,0,0,0,0,0
sp4740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0,0.00098898,0,0,0,0,0.00014156,0,0.00028269
sp4741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014128,0.00028289,0.00028329,0,0,0,0,0
sp4742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014186,0,0,0,0
sp4743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014186,0.00113298,0,0.00042469,0
sp4744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0,0,0,0,0.00014186,0.00014162,0,0,0
sp4747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014128,0,0.00014164,0,0,0.00028313,0.00014156,0
sp4749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014164,0,0.00014162,0.00014156,0,0.00014134
sp4750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4752,0,0,0,0.00014067,0.00028106,0,0,0,0,0,0,0.0002809,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4753,0,0,0,0,0,0.00014059,0,0,0,0,0,0,0.00042153,0.00140726,0,0,0,0,0,0,0,0,0,0,0,0
sp4754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042135,0,0,0,0,0,0,0,0,0,0
sp4755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014128,0,0,0.00028373,0.00014162,0,0,0
sp4756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00210822,0,0,0,0,0,0,0,0,0,0,0
sp4757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00070761,0,0,0,0,0,0,0,0,0
sp4758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0,0,0.00014144,0,0,0,0,0.00014156,0.00014134
sp4760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0,0,0,0,0,0,0,0,0
sp4761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0,0,0,0,0,0,0,0,0
sp4764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014128,0,0,0.00014186,0.00028325,0,0,0
sp4765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028325,0,0.00028313,0
sp4767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042385,0,0,0.00014186,0.00028325,0,0.00056625,0.00014134
sp4768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4769,0.00070353,0.00056235,0,0,0,0,0,0,0.00070304,0.00028129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4770,0.00014071,0,0.00014059,0,0,0,0,0,0.00042182,0,0,0,0,0,0,0,0,0,0,0,0.00014164,0.00014186,0.00014162,0.00028313,0,0
sp4771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028373,0,0,0,0
sp4772,0,0,0.00070294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4773,0,0,0.00014059,0.00056267,0.00182687,0,0,0,0,0,0,0.0008427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4774,0,0,0,0,0,0,0.00028114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00252987,0.00280899,0,0,0,0,0,0,0,0,0,0
sp4778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0,0,0,0,0,0,0,0
sp4780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0,0,0,0,0,0,0,0
sp4781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014186,0,0,0.00042469,0
sp4783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028257,0,0,0,0,0,0,0
sp4784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0,0.00028257,0,0.00028329,0,0,0,0.00056625,0
sp4787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014186,0,0.00084938,0,0.00056537
sp4788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042493,0.00014186,0.00028325,0.00014156,0.00056625,0.00042403
sp4790,0,0,0,0,0,0,0,0,0.00028121,0,0.00098342,0.00014045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4791,0,0.00028118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056513,0.00028289,0,0,0,0,0.00028313,0.00028269
sp4792,0,0,0.00210881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4793,0,0,0.00042176,0.000422,0.00042159,0,0,0,0,0,0.00014049,0.00042135,0.00014051,0.00014073,0,0,0,0,0,0,0,0,0,0,0,0
sp4794,0,0,0,0,0,0,0,0,0.00014061,0,0.00028098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4795,0,0,0,0,0,0,0,0,0,0,0,0,0.00112407,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0,0.00056513,0,0,0.00014186,0.00042487,0,0.00014156,0
sp4799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0,0,0,0,0.00028325,0,0,0
sp4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0,0,0,0,0,0,0,0,0
sp4801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014128,0,0,0,0,0,0,0
sp4804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0,0,0,0,0,0,0,0,0
sp4805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0,0,0,0,0,0,0,0
sp4806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028373,0.00070811,0,0,0
sp4807,0,0,0,0,0,0.00056235,0,0,0,0,0,0,0,0.00126654,0,0,0,0,0,0,0,0,0,0,0,0
sp4808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014164,0,0.00014162,0,0,0.00014134
sp4809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0,0,0,0,0,0,0,0,0
sp4811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0.00071073,0,0,0,0,0,0,0,0
sp4812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0,0,0,0,0,0,0,0,0
sp4813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014186,0.00014162,0,0.00014156,0.00028269
sp4814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042385,0,0,0.00014186,0.00014162,0,0.00028313,0
sp4819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014144,0,0.00028373,0,0,0,0.00028269
sp4821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014186,0,0,0.00028313,0
sp4823,0,0,0.00014059,0.000422,0.00168634,0,0,0,0,0,0,0.00014045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4824,0,0,0,0,0,0.0011247,0.00267079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4825,0,0,0,0,0,0,0,0,0,0,0,0,0.00028102,0.0005629,0,0,0,0,0,0,0,0,0,0,0,0
sp4826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042385,0,0,0,0,0.00099094,0,0.00042403
sp4827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0,0,0,0,0,0,0,0,0
sp4828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0,0,0.00014144,0,0,0.00028325,0,0,0
sp4829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014134
sp4831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0,0,0,0,0,0,0,0,0
sp4834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042385,0,0.00028329,0,0,0,0,0.00014134
sp4835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014162,0.00028313,0.0011325,0.00028269
sp4837,0,0,0,0.00028133,0,0,0,0,0,0,0.00028098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4838,0,0,0,0,0.00028106,0,0,0,0,0,0,0.00140449,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4839,0,0,0,0,0,0,0,0,0,0,0,0,0.00112407,0.00070363,0,0,0,0,0,0,0,0,0,0,0,0
sp4840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0.00042644,0,0,0,0,0,0,0,0
sp4841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028289,0,0,0,0,0,0.00014134
sp4842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028313,0,0
sp4843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042644,0,0,0,0.00028373,0,0,0,0
sp4844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014186,0,0.00014156,0,0
sp4846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056859,0,0,0,0,0,0,0,0
sp4847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028289,0.00014164,0.00042559,0.00014162,0.00014156,0,0
sp4848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014156,0,0
sp4850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4851,0,0,0,0.00070333,0.00140528,0,0,0,0,0,0,0.00042135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014186,0.00028325,0,0.00014156,0
sp4855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042644,0,0,0,0,0,0,0,0.00014134
sp4857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0,0,0.00014144,0,0,0,0,0,0
sp4858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0,0,0,0,0,0,0,0
sp4859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0,0,0.00014164,0.00014186,0,0,0,0
sp4860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028373,0,0.00014156,0,0
sp4861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042644,0,0,0,0,0.00014162,0,0,0
sp4863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014164,0,0,0,0,0.00014134
sp4864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00070811,0,0,0
sp4865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014186,0.00014162,0,0,0
sp4867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0.00014215,0,0.00014144,0,0,0.00014162,0,0,0
sp4868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014164,0,0.00014162,0,0,0.00028269
sp4869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4870,0,0,0,0,0,0,0,0,0,0.00042194,0,0,0,0,0,0,0,0,0.00014128,0,0,0,0,0,0,0
sp4871,0,0,0,0,0.00084317,0,0,0,0,0,0,0.0005618,0.00014051,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4872,0,0,0,0,0,0,0.00014057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4873,0,0,0,0,0,0,0,0,0,0,0.00168587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4874,0,0,0,0,0,0,0,0,0,0,0,0,0.00028102,0.00084436,0,0,0,0,0,0,0,0,0,0,0,0
sp4875,0,0,0,0,0,0,0,0,0,0,0,0,0.00028102,0.00309598,0,0,0,0,0,0,0,0,0,0,0,0
sp4876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056609,0.00014215,0,0,0,0,0,0,0,0.00014134
sp4877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014162,0,0,0
sp4878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014164,0.00028373,0,0,0,0
sp4879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014162,0.00014156,0.00028313,0.00014134
sp4886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014134
sp4887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4888,0,0,0,0.000844,0,0,0,0,0,0,0,0.0011236,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4889,0,0,0,0.00070333,0.00028106,0,0,0,0,0,0,0.00070225,0.00014051,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0,0,0,0,0,0.00042487,0,0,0
sp4893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014144,0,0,0,0,0,0
sp4895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014162,0,0,0
sp4896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028429,0,0,0,0,0,0,0,0
sp4897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0,0,0,0,0,0,0,0
sp4898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014128,0,0,0.00014186,0,0,0,0.00028269
sp4899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014134
sp4900,0,0,0,0.00056267,0,0,0,0,0,0,0.00196684,0.00014045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4901,0,0,0,0,0,0.00014059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4902,0,0,0,0,0,0,0.00379533,0,0,0,0,0,0,0,0.00084329,0,0,0,0,0,0,0,0,0,0,0
sp4903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014164,0,0,0,0.00028313,0
sp4904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0,0,0,0,0,0,0,0
sp4905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028289,0,0.00014186,0,0,0,0.00014134
sp4907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0.00028429,0,0,0,0.00014186,0.00042487,0,0.00028313,0.00014134
sp4908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0,0,0,0,0,0,0,0,0
sp4909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014186,0.00028325,0,0,0
sp4910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014162,0,0.00028313,0
sp4911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028257,0,0,0,0,0.00042469,0.00014156,0
sp4912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028325,0.00028313,0.00070781,0
sp4913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014134
sp4914,0,0,0.00056235,0,0,0,0,0,0,0,0.00056196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056746,0.00014162,0,0,0
sp4919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0,0.00042433,0.00014164,0.00014186,0,0,0,0
sp4920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014186,0,0,0,0
sp4921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0,0,0.00028289,0,0.00014186,0,0,0.00014156,0
sp4922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028429,0,0,0.00070822,0,0,0,0,0
sp4923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0,0,0,0,0,0,0,0
sp4924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014128,0.00014144,0.00056657,0,0,0,0,0
sp4926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4931,0,0,0.00028118,0,0,0,0,0,0,0,0.00154538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4932,0,0,0,0.00014067,0.00042159,0,0,0,0,0.00014065,0,0.0002809,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4933,0,0,0,0,0,0.00196823,0,0,0,0,0,0,0,0.00014073,0,0,0,0,0,0,0,0,0,0,0,0
sp4934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4935,0,0,0,0,0,0,0,0,0,0,0,0,0.00014051,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0.00028429,0,0,0,0,0,0,0,0
sp4937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028429,0,0,0,0.00070932,0,0.00028313,0,0
sp4938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014186,0.00028325,0,0.00014156,0
sp4939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0,0,0,0,0.00042559,0.00042487,0,0,0
sp4940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056746,0.00042487,0.00028313,0.00014156,0.00042403
sp4941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014186,0,0,0,0
sp4945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011325,0,0
sp4946,0,0,0.00126529,0,0,0,0,0,0,0.00042194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4947,0,0,0,0.00140667,0,0,0,0,0,0,0.00028098,0.0002809,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4948,0,0,0,0,0,0,0,0,0.00014061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028373,0,0,0,0
sp4951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp4952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042487,0,0,0
sp4953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014164,0,0,0,0,0
sp4954,0.00042212,0,0.00014059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
