,DC.C01.4861,DC.C01.4811,DC.C01.3000,DC.C01.1000,DC.C01.900,DC.C01N.120,DC.C01.80,DC.C01.5,DC.C14.4183,DC.C14.4138,DC.C14.2000,DC.C14N.1000,DC.C14.150,DC.C14.120,DC.C14.70,DC.C14.5,DC2.R04C06.05to1,DC2.R04C06.0to05,DC2.R04C06.10to15r,DC2.R04C06.1to5,DC2.R04C06.5to10,DC2.R14C27.05to1,DC2.R14C27.0to05,DC2.R14C27.10to15,DC2.R14C27.1to5,DC2.R14C27.5to10
sp77,0.00056283,0.00042176,0.00028118,0.00028133,0,0,0,0,0,0,0,0,0,0,0,0,0.0018398,0.00255864,0,0.00113154,0.00042493,0.00056746,0.00070811,0.00014156,0.00042469,0.00042403
sp78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113218,0.00085288,0.00113026,0.00155587,0.00169972,0.00028373,0.00070811,0,0.00042469,0.00042403
sp79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00070761,0.00156361,0,0.00127298,0.00184136,0.00226983,0.00410707,0,0.00127407,0.00127208
sp80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0.00071073,0,0,0.00028329,0.00014186,0,0.00014156,0,0
sp81,0.02617138,0.02347814,0.00253058,0,0.00028106,0,0,0,0.01307649,0.007173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp82,0,0,0.00028118,0.00014067,0,0.00449881,0.02178802,0.02556539,0.00014061,0,0,0,0.00098356,0.00154799,0.00590302,0.00674157,0,0,0,0,0,0,0,0,0,0
sp83,0,0.00731056,0.00309293,0.02039668,0.05241709,0,0,0,0.00337458,0.004782,0,0.00941011,0.0015456,0.00337743,0,0,0,0,0,0,0,0,0,0,0,0
sp84,0,0.00042176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00212284,0.00170576,0.00028257,0.0019802,0.0009915,0.00312101,0.00169948,0.00084938,0.00141563,0.00056537
sp85,0.01843253,0.01658934,0.00070294,0,0,0,0,0,0.00717098,0.00703235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp86,0.00999015,0.00871643,0.01152819,0,0,0,0,0,0.01434196,0.01715893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp87,0,0,0.00070294,0.02391335,0.03499157,0,0.00028114,0,0,0,0.00309076,0.03286517,0.00702543,0.0032367,0,0,0,0,0,0,0,0,0,0,0,0
sp88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00240589,0.00298507,0.00155411,0.00212164,0.00410765,0.00297915,0.00226597,0.00127407,0.00169875,0.00310954
sp89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297198,0.00412225,0.00014128,0.00339463,0.00127479,0.00070932,0.00141623,0,0.0011325,0
sp90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018398,0.00170576,0.00536875,0.00226308,0.00467422,0.00241169,0.00382382,0.00325595,0.00368063,0.00522968
sp91,0,0,0,0,0,0,0,0.00210704,0,0,0,0,0,0,0.00042164,0.0008427,0,0,0,0,0,0,0,0,0,0
sp92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00070761,0.00042644,0.00522747,0.00169731,0.00566572,0.00638388,0.00708115,0.00806908,0.00948471,0.00904594
sp93,0.01364852,0.01152819,0.01124701,0.00815867,0.00224845,0,0,0,0.00745219,0.00801688,0.00871031,0.00674157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp94,0.00112565,0.00140588,0.00140588,0.00520467,0.0084317,0.01532405,0.00520101,0.00266891,0.00098425,0.00154712,0.00154538,0.00800562,0.01152171,0.01069519,0.00365425,0.00210674,0,0,0,0,0,0,0,0,0,0
sp95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00665157,0.00312722,0,0.00268741,0.0009915,0.00326287,0.00354057,0.00014156,0.00240657,0.00183746
sp96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127371,0.00170576,0,0.00155587,0.00084986,0.00113491,0.00254921,0.00127407,0,0
sp97,0.00112565,0.00070294,0,0,0,0,0,0,0.00056243,0.00070323,0,0,0,0,0,0,0.00169827,0.0018479,0.00028257,0.00212164,0.0009915,0.0019861,0.00113298,0.00014156,0.00099094,0
sp98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014128,0.00155587,0,0.00156051,0.00113298,0,0,0.00113074
sp99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00084914,0.00113717,0.00226053,0.00084866,0.00084986,0.00212796,0.00198272,0.00396376,0.00268969,0.00268551
sp100,0.00309554,0.00238999,0.00646703,0.01969335,0.0198145,0,0,0,0.00084364,0.00056259,0.00407418,0.02134831,0.00576085,0.00394033,0,0,0,0,0,0,0,0,0,0,0,0
sp101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099066,0.00071073,0.00028257,0.00113154,0.00014164,0.00028373,0.00056649,0.00042469,0.00042469,0.00042403
sp102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00198132,0.00142146,0,0.00169731,0.00056657,0.00269542,0.00155785,0,0.00056625,0.00028269
sp103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00254741,0.00170576,0.00113026,0.00141443,0.00141643,0.00156051,0.00141623,0.00056625,0.0011325,0.00070671
